id,url,manufacturer,model,rated_power_kw,rotor_diameter_m,rotor_area_m2,num_blades,hub_height_m,cut_in_wind_speed_ms,cut_out_wind_speed_ms,rated_wind_speed_ms,rotor_speed_rpm,generator_type,gearbox_type,tower_type,nacelle_weight_kg,rotor_weight_kg,tower_weight_kg,blade_weight_kg,total_weight_kg,voltage_v,frequency_hz,installation,offshore,onshore
2495,https://en.wind-turbine-models.com/turbines/2495-aev-36-500,AEV,AEV 36/500,500,36,1018,3,49,,,,,,,steel tube,,,,,62000,,,1993,No,Yes
1662,https://en.wind-turbine-models.com/turbines/1662-agile-wind-power-vertical-sky-a32,AGILE WIND POWER,AGILE WIND POWER Vertical Sky ® A32,750,32,1728,3,78,,,12,16.5,synchronous permanent,,lattice,,,,,,,50/60 Hz,2019,No,Yes
2025,https://en.wind-turbine-models.com/turbines/2025-agile-wind-power-vertical-sky-a42,AGILE WIND POWER,AGILE WIND POWER Vertical Sky ® A42,600,42,2268,3,78,,,,12.5,synchronous permanent,,lattice,,,,,,,50/60 Hz,,No,Yes
2026,https://en.wind-turbine-models.com/turbines/2026-agile-wind-power-vertical-sky-a45,AGILE WIND POWER,AGILE WIND POWER Vertical Sky ® A45,1500,45,3420,3,92,,,,11.5,synchronous permanent,,lattice,,,,,,,50/60 Hz,,No,Yes
2162,https://en.wind-turbine-models.com/turbines/2162-aiola-27,Aiola,Aiola 27,270,27,572,,,,,,,,,,,,,,,,,,No,Yes
2163,https://en.wind-turbine-models.com/turbines/2163-aiola-80,Aiola,Aiola 80,80,17,227,,,,,,,,,,,,,,,,,,No,Yes
956,https://en.wind-turbine-models.com/turbines/956-air-19-100,AIR,AIR 19/100,100,19,284,3,25,3.5,24,14,61,Synchronous multi-pole,,Steel tube/Lattice,,,,,,400,50 Hz,,No,Yes
157,https://en.wind-turbine-models.com/turbines/157-aircon-10-s,AIRCON,AIRCON 10 S,9.8,7.1,39.6,3,30,3.5,25,11,130,Synchronous permanent,,Steel tube/Lattice,,,,,,690,50 Hz,,No,Yes
859,https://en.wind-turbine-models.com/turbines/859-aircon-10s,AIRCON,AIRCON 10S,100,,,,,2.5,25,10,,,,,,,,,,,,,No,Yes
1295,https://en.wind-turbine-models.com/turbines/1295-aircon-30,AIRCON,AIRCON 30,29.8,13.1,135.1,3,24,2.5,25,11,65,synchronous permanent,,lattice,,,,,,690,50 Hz,,No,Yes
